,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.883820017,1.61313261,0.839374462,1.609524838,0.826591423,1.564266395,{'criterion': 'friedman_mse'},1.488029581,1.330836742,1.767204861,1.597934212,1.601927371,1.446395774,1.633082822,1.85701241,1.16969374,1.55,0.20
1,CFCs,DT_total,0.883820017,1.61313261,0.839374462,1.609524838,0.865816448,2.499076448,{'criterion': 'friedman_mse'},2.536388312,4.003331919,4.532454051,2.743989183,5.990024875,2.15641057,11.2149546,2.461959003,5.096220723,4.32,2.75
2,Methane,DT_total,0.883820017,1.61313261,0.839374462,1.609524838,0.852041762,1.69274225,{'criterion': 'friedman_mse'},2.07775289,1.750286624,2.003319037,1.592633599,2.253574912,2.169961917,1.914153035,1.736294836,1.197218284,1.84,0.31
3,E&E,DT_total,0.883820017,1.61313261,0.839374462,1.609524838,0.803468751,1.339409019,{'criterion': 'friedman_mse'},1.294334544,1.103019924,1.33894655,1.174588824,1.140743772,1.13720155,1.379220995,1.415987095,1.118623864,1.24,0.12
4,CO2,GBR_total,0.927885577,1.006454863,0.90634821,0.886171113,0.917725731,0.712862337,"{'learning_rate': 0.5, 'n_estimators': 200}",0.864371774,0.66242197,0.910020193,0.838558103,0.984558826,0.809557287,1.010696442,1.01890812,0.673843444,0.85,0.13
5,CFCs,GBR_total,0.927885577,1.006454863,0.90634821,0.886171113,0.915933295,1.28315998,"{'learning_rate': 0.5, 'n_estimators': 200}",1.581693554,2.291385446,1.907068938,0.613059609,4.675537858,1.22726164,1.288651109,1.577320361,1.809018143,1.83,1.10
6,Methane,GBR_total,0.927885577,1.006454863,0.90634821,0.886171113,0.883184317,1.307353787,"{'learning_rate': 0.5, 'n_estimators': 200}",1.386761939,1.162215219,1.302268758,0.996924408,1.408053712,1.561327321,1.277846436,1.038152281,0.877609346,1.23,0.21
7,E&E,GBR_total,0.927885577,1.006454863,0.90634821,0.886171113,0.872718055,0.796418286,"{'learning_rate': 0.5, 'n_estimators': 200}",0.930532388,0.639309141,0.761700934,0.641265022,0.707771321,0.79999271,0.647339085,0.725930301,0.731884816,0.74,0.09
8,CO2,BG_total,0.932049132,0.944187286,0.889800932,1.040873381,0.888121928,0.967849463,{'n_estimators': 100},0.894968213,0.796225965,1.03037858,0.930193108,0.977849037,0.882732677,0.881219853,1.156606583,0.640915779,0.92,0.14
9,CFCs,BG_total,0.932049132,0.944187286,0.889800932,1.040873381,0.907424033,1.507383738,{'n_estimators': 100},2.065573113,2.775646112,2.604610251,1.584235669,3.911183572,1.182345449,2.489152268,1.514557401,4.663473351,2.43,1.13
