,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,test_mse_separa_model,,
0,CO2,DT_total,0.881083136,1.649632877,0.836383089,1.608352975,0.826042496,1.545360393,{'criterion': 'friedman_mse'},1.436655911,1.217303421,1.787880073,1.49673565,1.641058298,1.47124841,1.478079965,1.783463127,1.162382465,1.50,0.21
1,CFCs,DT_total,0.881083136,1.649632877,0.836383089,1.608352975,0.893762599,1.909540762,{'criterion': 'friedman_mse'},3.192358249,3.265677647,3.509584806,2.98858031,5.32851118,2.08426735,11.42896049,2.293676041,3.994203362,4.00,2.80
2,Methane,DT_total,0.881083136,1.649632877,0.836383089,1.608352975,0.833210934,1.845003762,{'criterion': 'friedman_mse'},1.9212581,1.792383616,2.012509357,1.518880822,1.846125346,2.005593519,1.85707012,1.660724616,1.23073925,1.77,0.24
3,E&E,DT_total,0.881083136,1.649632877,0.836383089,1.608352975,0.810059379,1.354243704,{'criterion': 'friedman_mse'},1.365441079,1.010378693,1.259692539,1.249431681,1.035590875,1.16937735,1.376360679,1.179631744,1.177694263,1.22,0.13
4,CO2,GBR_total,0.924321599,1.05540778,0.89742747,1.004899815,0.904800477,0.857818597,"{'learning_rate': 0.5, 'n_estimators': 200}",0.743983819,0.618051912,0.957294621,0.845166008,0.970537158,0.790780022,0.947336277,1.019561129,0.771179565,0.85,0.12
5,CFCs,GBR_total,0.924321599,1.05540778,0.89742747,1.004899815,0.897504635,1.643461794,"{'learning_rate': 0.5, 'n_estimators': 200}",2.061755203,1.674792582,2.062636565,0.682485696,3.680563337,2.094146626,1.304485572,2.346695052,2.127018655,1.97,0.78
6,Methane,GBR_total,0.924321599,1.05540778,0.89742747,1.004899815,0.883369926,1.334103196,"{'learning_rate': 0.5, 'n_estimators': 200}",1.523038965,1.229794005,1.151411939,0.977279381,1.543779749,1.339922283,1.249865826,0.99410721,0.855651679,1.22,0.23
7,E&E,GBR_total,0.924321599,1.05540778,0.89742747,1.004899815,0.858535738,0.86884651,"{'learning_rate': 0.5, 'n_estimators': 200}",1.032074566,0.62808342,0.675596747,0.644330788,0.704063942,0.704032077,0.584164064,0.854764954,0.700219657,0.74,0.14
8,CO2,BG_total,0.933876942,0.91861839,0.894437046,0.994495763,0.891326113,0.932912819,{'n_estimators': 100},0.859508734,0.747406353,0.998980943,0.881563629,0.993740558,0.867936002,0.869304307,1.113394343,0.631314806,0.89,0.13
9,CFCs,BG_total,0.933876942,0.91861839,0.894437046,0.994495763,0.913948883,1.443493111,{'n_estimators': 100},2.161044762,2.616112333,2.156233195,1.461800416,3.733884165,1.211853435,2.376254117,1.559413033,4.65414443,2.34,1.10
10,Methane,BG_total,0.933876942,0.91861839,0.894437046,0.994495763,0.895454884,1.109931572,{'n_estimators': 100},1.265962364,0.935134694,1.078823965,0.925310251,1.170663285,1.004724187,1.160769248,0.899057854,0.677733254,1.02,0.17
11,E&E,BG_total,0.933876942,0.91861839,0.894437046,0.994495763,0.858828387,0.9119302,{'n_estimators': 100},0.875451196,0.676520289,0.677180246,0.822536461,0.686332168,0.673915138,0.801159366,0.859687053,0.726468369,0.77,0.09
12,CO2,ETR_total,0.943507953,0.784216708,0.905742359,0.876324236,0.910109439,0.768750651,{'n_estimators': 180},0.669493488,0.673858878,0.819601776,0.743385987,0.91009023,0.755156064,0.816475412,0.956546796,0.559911152,0.77,0.12
13,CFCs,ETR_total,0.943507953,0.784216708,0.905742359,0.876324236,0.926525778,1.182310253,{'n_estimators': 180},1.146864138,2.207965176,2.176625019,2.124907815,2.467988995,0.829824519,2.052687396,1.986383852,3.738861333,1.99,0.82
14,Methane,ETR_total,0.943507953,0.784216708,0.905742359,0.876324236,0.893345147,1.107467771,{'n_estimators': 180},1.23438815,0.874587911,1.020655599,0.901615543,1.081975353,0.845460032,0.953579627,0.739397126,0.607753533,0.94,0.18
15,E&E,ETR_total,0.943507953,0.784216708,0.905742359,0.876324236,0.864165246,0.856656983,{'n_estimators': 180},0.779042927,0.517494064,0.541841791,0.676722418,0.560042596,0.611051379,0.713118641,0.620079254,0.585814943,0.65,0.11
