,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,Methane,ETR_separate,0.9195045416573306,0.9691694074550853,-1,-1,0.8491221442499295,1.3847604791512778,{'n_estimators': 180},0.029995560756664798
1,Methane,LGBM_separate,0.9131444379097529,1.0351000100827954,-1,-1,0.8619023658250499,1.350109235455833,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 50}",0.029995560756664798
2,Methane,BGLGBM_separate,0.9259802024323947,0.890504219184064,-1,-1,0.8683628438431145,1.295328080020743,{'n_estimators': 50},0.029995560756664798
