,Gas,Model_name,CV_r2,CV_mse,test_r2_total_model,test_mse_by_total_model,test_r2_separa_model,test_mse_separa_model,best_param,kpg_pca_mse
0,Methane,ETR_separate,0.8902451486584766,1.294094493684438,-1,-1,0.9360264865741337,0.42174168043691423,{'n_estimators': 180},0.031122574119387226
1,Methane,LGBM_separate,0.884575861063745,1.3370380078850341,-1,-1,0.9527944297663504,0.3429398986386996,"{'learning_rate': 0.5, 'n_estimators': 200, 'num_leaves': 30}",0.031122574119387226
2,Methane,BGLGBM_separate,0.9005538688592744,1.1681481984625408,-1,-1,0.9704329803374915,0.18839141361529096,{'n_estimators': 50},0.031122574119387226
