,CV_r2,CV_mse,test_r2_separa_model,test_mse_separa_model,test_r2_separa_model_m,test_mse_separa_model_m
0,0.03,0.78,0.02,0.24,0.02,0.24
1,0.03,0.72,0.03,0.34,0.03,0.29
2,0.03,0.70,0.03,0.34,0.03,0.33
3,0.03,0.76,0.03,0.30,0.03,0.28
