,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
0,0,UC-600-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1239,0.43,,,79.2,,1.98,298,0.048715257,0.5470179,0,3.71819264,0.580047965,0.996002194
16,16,UC-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1500,0.52,,,77.9,,0.86,298,0.046487476,0.564527476,1,4.239548738,0.645567148,0.998960141
33,33,UC-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1636,0.54,,,71.8,,0.28,298,0.008855289,0.105917299,2,3.923048047,0.686517506,0.999161262
54,54,UC-600-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1239,0.43,,,79.2,,1.98,273,0.021987471,0.739545064,3,5.778978173,0.483665767,0.997268891
75,75,UC-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1500,0.52,,,77.9,,0.86,273,0.013204766,0.40506527,4,6.330841766,0.575816561,0.998321582
94,94,UC-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1636,0.54,,,71.8,,0.28,273,0.026498867,0.52864848,5,5.594971874,0.611562185,0.99930473
116,116,UC-650-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1394,0.52,,,80.8,,1.64,298,0.042669665,0.513380524,6,4.396058327,0.643064548,0.999210321
137,137,UC-650-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1755,0.64,,,80.6,,0.82,298,0.051612612,0.495861839,7,4.216556684,0.68595801,0.999412006
154,154,UC-650-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1900,0.7,,,81,,0.82,298,0.026936179,0.283304427,8,4.108888121,0.709849232,0.99917621
172,172,UC-650-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1394,0.52,,,80.8,,1.64,273,0.013569778,0.459835829,9,6.303803913,0.530387934,0.997145817
188,188,UC-650-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1755,0.64,,,80.6,,0.81,273,0.022569219,0.61908582,10,6.745591457,0.611395935,0.999300506
206,206,UC-650-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1900,0.7,,,81,,0.58,273,0.011281785,0.300704476,11,6.704213428,0.656281058,0.999255285
223,223,UC-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1734,0.63,,,78.2,,1.26,298,0.055507859,0.626865672,12,4.055395921,0.631925863,0.999364014
238,238,UC-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2232,0.84,,,88.2,,0.64,298,0.033273896,0.278606965,13,4.077854305,0.769012792,0.999490372
255,255,UC-700-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2299,0.93,,,86,,0.29,298,0.050967508,0.26119403,14,3.695823,0.868084799,0.999699791
271,271,UC-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1734,0.64,,,78.2,,1.26,273,0.006774755,0.435323383,15,5.854991773,0.548257218,0.999551584
285,285,UC-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2232,0.84,,,88.2,,0.64,273,0.024462863,0.400497512,16,6.316962958,0.673138184,0.999434919
305,305,UC-700-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2299,0.93,,,86,,0.29,273,0.011133492,0.226368159,17,6.034304487,0.7452899,0.999811889
324,0,CN-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1082,0.39,,,87.5,,2.74,298,0.019565217,0.23452748,18,3.695979956,0.611272886,0.998472672
346,22,CN-600-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,947,0.34,,,86.6,,2.76,298,0.034782609,0.400637823,19,3.458389113,0.591523078,0.998136461
362,38,CN-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1324,0.5,,,91.35,,1.52,298,0.043478261,0.332093122,20,3.475978098,0.675283558,0.998993625
383,59,CN-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1199,0.46,,,91.1,,1.42,298,0.058695652,0.322164346,21,2.985365754,0.731781628,0.999188094
403,79,CN-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1354,0.53,,,88.7,,1.34,298,0.104347826,0.575996598,22,3.044642776,0.711180867,0.999293853
423,99,CN-800-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1329,0.53,,,91.34,,1.13,298,0.058695652,0.302604443,23,2.836443587,0.7368425,0.999485765
444,120,CN-800-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1430,0.58,,,93.2,,0.86,298,0.041304348,0.204975019,24,2.746657537,0.766742575,0.999561905
465,141,CN-600-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,947,0.34,,,86.6,,2.76,273,0.041317314,0.842798283,25,4.930677479,0.491810333,0.996689224
479,155,CN-600-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1082,0.39,,,87.5,,2.74,273,0.017466217,0.508254819,26,5.243291854,0.503700253,0.995950381
491,167,CN-600-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1324,0.5,,,91.4,,1.52,273,0.010868125,0.200679978,27,5.224304894,0.587482736,0.997221723
503,179,CN-700-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1199,0.46,,,91.1,,1.42,273,0.054138935,0.588959,28,4.57676623,0.661334015,0.999195121
519,195,CN-700-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1354,0.53,,,88.7,,1.34,273,0.043374535,0.615553058,29,4.723451634,0.615477238,0.998836532
530,206,CN-800-3,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1329,0.53,,,91.4,,1.13,273,0.043305385,0.455124327,30,4.495601658,0.684515503,0.999585747
545,0,PC-2,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1479,0.71,0.08,0.63,,,,298,0.009389671,0.011461318,31,3.47470336,0.687309971,0.997715414
557,12,PC-1/4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2264,1.02,0.1,0.92,,,,298,0.046948357,0.229226361,32,3.179363361,0.7638779,0.999041029
568,23,PC-1/5,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1778,1.02,0.35,0.67,,,,298,0.093896714,0.309455587,33,1.959095831,0.7860367,0.99900095
578,0,c-CBAP-1N,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1063,0.44,,,92,,2.93,273,0.023820079,0.604250128,34,5.191065342,0.509867238,0.993516476
594,16,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1063,0.44,,,92,,2.93,293,0.031920054,0.412276988,35,3.706644636,0.588253294,0.997047024
607,29,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1063,0.44,,,92,,2.93,298,0.03995744,0.397400403,36,3.47979279,0.597991019,0.99625075
620,42,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1063,0.44,,,92,,2.93,303,0.039973087,0.353126264,37,3.227745829,0.609278499,0.996542266
631,0,AC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1470,0.6415,0.0111,0.6304,71.32,19.73,0,298,0.58076225,2.195979899,38,4.40163344,0.442913,0.962958396
638,7,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1470,0.6415,0.0111,0.6304,71.32,19.73,0,308,0.58076225,1.670854271,39,3.513874221,0.469463765,0.971701529
645,14,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1470,0.6415,0.0111,0.6304,71.32,19.73,0,318,0.54446461,1.09798995,40,2.77566954,0.515371662,0.976904063
652,0,O-3-650-110,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,697,,,0.27,,,,273,0.013285024,0.35535867,41,3.228820355,0.384165196,0.985942831
666,14,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,697,,,0.27,,,,298,0.015942029,0.191274155,42,2.16088433,0.503712803,0.993828403
679,27,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,697,,,0.27,,,,323,0.018599034,0.072762555,43,1.461806255,0.564567711,0.992880583
691,39,A-3-650-83,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,557,,,0.21,,,,273,0.015714286,0.677232143,44,3.170430031,0.322578576,0.990907996
706,54,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,557,,,0.21,,,,298,0.018857143,0.302261905,45,2.299213163,0.40723437,0.990104507
717,65,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,557,,,0.21,,,,323,0.015714286,0.104315476,46,1.562806018,0.506887232,0.994514404
729,0,VR5-1:1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1770,0.73,0.03,0.7,,,,298,0.031420822,0.229690522,47,3.86550079,0.716614109,0.998444899
739,10,VR5-2.5:1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2455,1.09,0.13,0.96,,,,298,0.055083677,0.290135397,48,3.558385759,0.803314844,0.999180328
749,20,VR5-2:1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2430,1.05,0.15,0.9,,,,298,0.066857287,0.386847195,49,3.689258918,0.788816398,0.999184159
759,30,VR5-3:1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,3125,1.45,0.4,1.05,,,,298,0.086662181,0.338491296,50,2.974211133,0.853179966,0.999375273
769,40,VR5-4:1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,3575,1.83,0.61,1.22,,,,298,0.102493482,0.314313346,51,2.611511498,0.897562408,0.999568335
779,0,AC-600-0.5,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,508,0.31,0.07,0.24,,,,273,0.000912409,0.636636637,52,9.302202045,0.350147034,0.98659019
792,13,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,508,0.31,0.07,0.24,,,,298,0.001094891,0.24024024,53,8.753259026,0.449611496,0.989359238
805,26,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,508,0.31,0.07,0.24,,,,348,0.003284672,0.132132132,54,6.738629922,0.63799885,0.99691501
816,37,AC-700-1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1685,0.94,0.12,0.82,,,,273,0.028119508,0.5,55,6.920587663,0.671131114,0.999162374
828,49,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1685,0.94,0.12,0.82,,,,298,0.0228471,0.211538462,56,4.151123963,0.722756412,0.999525942
840,61,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1685,0.94,0.12,0.82,,,,348,0.043936731,0.153846154,57,1.63196716,0.831033765,0.997718376
851,72,AC-750-0.5,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,826,0.51,0.11,0.4,,,,273,0.015873016,0.590116279,58,6.477428174,0.540549612,0.997646356
863,84,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,826,0.51,0.11,0.4,,,,298,0.017857143,0.284883721,59,4.336792175,0.600197834,0.997274783
875,96,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,826,0.51,0.11,0.4,,,,348,0.037698413,0.081395349,60,1.852489891,0.742039394,0.996169425
886,107,AC-800-1,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2448,1.39,0.4,0.99,,,,273,0.033464567,0.417973297,61,5.093950233,0.752438306,0.999446933
897,118,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2448,1.39,0.4,0.99,,,,298,0.031496063,0.139678192,62,3.020769494,0.827594797,0.999272547
909,130,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2448,1.39,0.4,0.99,,,,348,0.043307087,0.070318384,63,1.13022609,0.895251215,0.996889788
920,0,NOMC-800,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,645,0.36,0.12,0.24,87.3,,2.37,298,0.057199211,0.615656485,64,2.766280392,0.481719516,0.995257079
934,14,NOMC-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,6.29,0.33,0.11,0.22,86.4,,2.51,298,0.071005917,0.631760755,65,2.643576337,0.496374686,0.996182259
945,25,NOMC-550,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,604,0.32,0.11,0.21,82.8,,3.73,298,0.071005917,0.575003998,66,2.394063344,0.50336405,0.997184407
956,36,NOMC-800,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,645,0.36,0.12,0.24,87.3,,2.37,273,0.01313949,0.329624803,67,3.490148824,0.423624901,0.988144943
968,48,NOMC-K,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1613,0.78,0.308,0.472,88.4,,0.68,273,0.01760292,0.278906046,68,5.10450136,0.633104555,0.998057399
980,60,,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1613,0.78,0.308,0.472,88.4,,0.68,298,0.006640206,0.119477359,69,3.238978863,0.671659199,0.998254763
992,0,NDC,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,122,0.45,,,64.6,,7.5,298,0.012526096,0.04610951,70,0.865151653,0.507963841,0.993047005
1004,12,NDC-4,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,193,0.11,,,77.2,,7.3,298,0.020876827,0.299711816,71,2.310231369,0.41820245,0.988237352
1017,25,NDC-5,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,952,0.41,,,81.2,,7,298,0.018789144,0.414985591,72,4.087791132,0.517137466,0.996124481
1030,38,NDC-6,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1360,0.59,,,82.5,,4.8,298,0.054279749,0.495677233,73,4.39320404,0.691723279,0.998667651
1042,50,NDC-7,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1588,1.88,,,91.1,,2.7,298,0.033402923,0.172910663,74,2.564502096,0.802340184,0.999740516
1053,0,3C-60,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,758,0.55,0.39,0.16,91.7,5.8,,298,0.20566972,0.961970435,75,2.291368388,0.525596204,0.997701755
1068,15,3C-650N,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,741,0.6,0.44,0.16,92.7,2.49,2.95,298,0.307398829,1.341143611,76,2.438150588,0.487114913,0.996190006
1077,24,3C-800N,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,886,0.68,0.47,0.21,92.5,1.74,4.52,298,0.055287559,0.485338909,77,2.893218888,0.556294676,0.996517384
1089,36,3C-900N,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1192,0.92,0.66,0.26,93.7,2.11,3.62,298,0.148170659,0.874115477,78,3.041870212,0.625008023,0.998827758
1100,47,3C-1000N,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,2104,1.66,1.4,0.26,93.3,1.98,3.73,298,0.16807418,0.854931667,79,3.317049032,0.736783303,0.99942202
1110,57,H-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,610,0.48,0.38,0.1,,,,298,0.030961033,0.252399207,80,1.756816492,0.441327738,0.987044713
1120,0,RFL-400,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,42,0.032,0,0.032,70.6,24.7,1.71,298,0.035191941,0.324536934,81,1.902585565,0.463849086,0.992692954
1128,8,RFL-500,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,467,0.23,0.02,0.21,86.3,10.2,1.92,298,0.034942971,0.548629186,82,3.196295835,0.461772515,0.99169366
1136,16,RFL-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,509,0.24,0.029,0.211,87.4,9.11,1.84,298,0.032832949,0.447811016,83,2.879444,0.468971633,0.98811487
1144,0,NPC-750,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,3195,1.58,0.2,1.38,83.4,,1.52,298,0.098895928,0.252,84,2.160063724,0.929465456,0.999618632
1153,9,NPC-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1876,0.94,0.17,0.77,80.2,,3.77,298,0.107668175,0.466666667,85,2.504009855,0.717207963,0.998717188
1162,18,NPC-650,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1561,0.75,0.1,0.65,75.7,,4.11,298,0.026582202,0.186666667,86,3.149658389,0.766074758,0.999339357
1172,28,NPC-600,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1033,0.51,0.08,0.43,71.6,,5.05,298,0.035523379,0.270666667,87,3.085895824,0.641533518,0.99801895
1182,38,NPC-750,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,3195,1.58,0.2,1.38,83.4,,1.52,273,0.008849558,0.076335878,88,4.263999578,0.864600189,0.999247842
1192,48,NPC-700,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1876,0.94,0.17,0.77,80.2,,3.77,273,0.008849558,0.152671756,89,4.303605456,0.646385396,0.999308482
1202,58,NPC-650,CarbonDiox,0,0.28,0.05,0.1,0.2809,0.058,1561,0.75,0.1,0.65,75.7,,4.11,273,0.008849558,0.27480916,90,5.300819497,0.66239899,0.999140667
