,E,S,A,B,V,L,BET,Vt,Temp(K),K,n,Vmic
144,0,0.28,0.05,0.1,0.2809,0.058,696.0,0.289,298.0,2.8279581175019266,0.5459441547765298,0.267
145,0,0.28,0.05,0.1,0.2809,0.058,863.0,0.341,298.0,3.847440878570135,0.6003377396002697,0.334
146,0,0.28,0.05,0.1,0.2809,0.058,1018.0,0.429,298.0,3.150203900912565,0.6477325697436184,0.393
161,0,0.28,0.05,0.1,0.2809,0.058,1280.0,1.82,273.0,4.789985247456963,0.3431415466054893,1.64
162,0,0.28,0.05,0.1,0.2809,0.058,790.0,1.82,273.0,3.78272495740986,0.3647569211095461,1.31
163,0,0.28,0.05,0.1,0.2809,0.058,910.0,2.24,273.0,4.474511226229948,0.3301106660116758,1.98
164,0,0.28,0.05,0.1,0.2809,0.058,1280.0,1.82,293.0,3.443583849366568,0.4185747012500734,1.64
165,0,0.28,0.05,0.1,0.2809,0.058,790.0,1.82,293.0,2.743637685074644,0.4366060451772857,1.31
166,0,0.28,0.05,0.1,0.2809,0.058,910.0,2.24,293.0,3.043705860203626,0.4136131008017885,1.98
167,0,0.28,0.05,0.1,0.2809,0.058,895.0,1.17,273.0,4.500649911913588,0.5511182587702145,1.04
168,0,0.28,0.05,0.1,0.2809,0.058,1020.0,1.85,273.0,2.971771382977706,0.5526971952096575,1.55
169,0,0.28,0.05,0.1,0.2809,0.058,399.0,0.62,273.0,1.5783562539720684,0.5895544310097068,0.36
170,0,0.28,0.05,0.1,0.2809,0.058,895.0,1.17,293.0,3.4275955971176115,0.5499659236792098,1.04
171,0,0.28,0.05,0.1,0.2809,0.058,1020.0,1.8,293.0,2.31410414761915,0.5810130709987265,1.55
172,0,0.28,0.05,0.1,0.2809,0.058,399.0,0.62,293.0,1.155150401988912,0.5980292243827515,0.36
173,0,0.28,0.05,0.1,0.2809,0.058,1275.0,0.553,303.0,2.684603410917333,0.6928812485153685,0.553
174,0,0.28,0.05,0.1,0.2809,0.058,2108.0,1.059,303.0,2.5518884644957964,0.7037120586319422,1.046
175,0,0.28,0.05,0.1,0.2809,0.058,1794.0,1.184,303.0,1.831940168437875,0.7591933789687281,1.109
176,0,0.28,0.05,0.1,0.2809,0.058,2595.0,1.275,303.0,4.373998800566659,0.572762879728531,1.236
177,0,0.28,0.05,0.1,0.2809,0.058,1875.0,0.976,303.0,2.811513408857149,0.6246020950721449,0.949
178,0,0.28,0.05,0.1,0.2809,0.058,1889.0,1.178,303.0,1.652438653685982,0.7086344665859816,1.063
179,0,0.28,0.05,0.1,0.2809,0.058,1889.0,1.178,288.0,4.113673118124984,0.5687777000660822,1.063
180,0,0.28,0.05,0.1,0.2809,0.058,1889.0,1.178,303.0,2.8612972728543955,0.6198251325272567,1.063
182,0,0.28,0.05,0.1,0.2809,0.058,1275.0,0.553,288.0,3.681453381949064,0.6485966367131268,0.553
183,0,0.28,0.05,0.1,0.2809,0.058,1275.0,0.553,318.0,2.7080379248135054,0.5666163488216626,0.553
184,0,0.28,0.05,0.1,0.2809,0.058,1275.0,0.553,348.0,1.8926174376585343,0.6158249108596178,0.553
185,0,0.28,0.05,0.1,0.2809,0.058,1700.0,0.88,273.0,6.309019238575683,0.5635236660839217,0.74
186,0,0.28,0.05,0.1,0.2809,0.058,1700.0,0.88,298.0,3.882285430462448,0.6585322954062797,0.74
187,0,0.28,0.05,0.1,0.2809,0.058,1700.0,0.88,323.0,2.1217134860036224,0.7595322308973171,0.74
188,0,0.28,0.05,0.1,0.2809,0.058,2520.0,1.25,273.0,5.950455130539777,0.6383148705524514,1.08
