,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
0,0,MaxSorb III,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140.0,,,1.7,,,,293.0,0.11233593898606,5.508684390649848,0,12.998957599788048,0.2905947118804934,0.97677566888811
12,12,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140.0,,,1.7,,,,303.0,0.172661479515584,5.274704461559306,1,11.337344406757547,0.30588156146161016,0.9779415267953653
25,25,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140.0,,,1.7,,,,313.0,0.0556788434887369,3.105995669721836,2,9.911740485208533,0.3157953737200365,0.9798175222814218
38,38,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140.0,,,1.7,,,,323.0,0.145433465276583,3.282359506089738,3,8.57189707789129,0.3364269755003738,0.978865638778317
51,51,,"1,1,1,2-Tetrafluoroethane",-0.39,0.16,0.16,0.05,0.4612,0.403,3140.0,,,1.7,,,,333.0,0.146656280287316,2.403469956083564,4,7.52697823751421,0.34470338602846057,0.9773615310680015
63,0,MaxSorb III,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,298.0,0.127504553734061,3.22380930712919,5,11.20832306660968,0.4647064890773639,0.9806901145093202
72,9,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,308.0,0.136612021857923,3.157863120536382,6,9.96136801022698,0.47382682689599287,0.9950550381316532
81,18,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,318.0,0.163934426229508,2.367588000839546,7,8.174042359725158,0.5386729859670922,0.993767168596251
90,27,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,328.0,0.182149362477231,2.301521912089296,8,7.357434658763411,0.5356719333925146,0.9934090393631997
99,36,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,338.0,0.255009107468123,2.300562694829765,9,5.975656109344419,0.6024128445793644,0.9967976903891923
108,45,,"1,1-Difluoroethane",-0.25,0.47,0.04,0.07,0.4258,0.57,3140.0,,,1.7,,,,348.0,0.300546448087431,2.102484330736427,10,5.183697324550462,0.6060084680507589,0.9933561501715626
117,0,Vruf carbon,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,,,,,,273.0,0.0074226804123711,0.959349593495933,11,4.925575937839789,0.2565503544927071,0.9813836580914903
138,21,,Chloropentafluoroethane,-0.36,-0.12,0.0,0.0,0.6013,0.543,1330.0,0.81,,,,,,298.0,0.0173195876288659,0.910569105691056,12,3.8634649559505037,0.2889925678499486,0.9824181278644323
