,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
0,9,MMN,Methane,0,0,0,0,0.2495,-0.323,514,3,,,,,,298,0.05629641,0.007030047,0,0.143752868,1.055337957,0.997123903
8,26,,Methane,0,0,0,0,0.2495,-0.323,514,3,,,,,,278,0.053414953,0.018736999,1,0.300329749,0.886402535,0.999612756
16,43,,Methane,0,0,0,0,0.2495,-0.323,514,3,,,,,,263,0.036125293,0.053571429,2,1.16793129,0.992311828,0.999018462
24,0,Norit R1 Extra,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,273,0.975609756,1.415492958,3,2.15466431,0.344800594,0.974428921
36,12,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,283,1.219512195,1.669014085,4,1.790606363,0.378967454,0.979354959
45,21,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,298,1.219512195,1.035211268,5,1.372534948,0.419576159,0.982613059
55,31,,Methane,0,0,0,0,0.2495,-0.323,1450,0.47,,,,,,323,1.585365854,0.676056338,6,1.085043228,0.428363081,0.968819134
66,118,BPL,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,273,5.808516196,2.8508686,7,2.03065775,0.254221946,0.936063929
76,128,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,298,2.906217346,1.517056339,8,1.280856596,0.333328456,0.970884519
88,140,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,323,3.521421108,1.17647379,9,0.910190913,0.404751679,0.97955233
99,151,,Methane,0,0,0,0,0.2495,-0.323,1150,0.43,,,,,,333,5.527037618,1.568268896,10,0.817440084,0.41414309,0.99267649
109,193,A10,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,273,1.824332764,2.313829787,11,2.531110011,0.246924738,0.919565613
118,202,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,298,1.375275846,1.436170213,12,1.711708659,0.312653684,0.958344931
128,212,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,323,1.382770538,1.117021277,13,1.226094392,0.37358952,0.977595743
139,223,,Methane,0,0,0,0,0.2495,-0.323,1200,0.53,,,,,,333,1.274722072,0.718085106,14,1.04908458,0.384163922,0.94889589
148,263,MaxSorb,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,273,1.615677252,2.712765957,15,3.015582571,0.432931108,0.978215089
158,273,,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,298,2.470784546,2.313829787,16,1.814749988,0.504342589,0.990801883
169,284,,Methane,0,0,0,0,0.2495,-0.323,3250,1.79,,,,,,323,2.467652285,1.436170213,17,1.179761805,0.577987986,0.986301053
179,325,Carbon A,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,273,1.202518321,1.841421969,18,2.47443928,0.288197998,0.938840928
189,335,,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,298,1.877211802,1.420014236,19,1.771679289,0.325959525,0.933740598
202,348,,Methane,0,0,0,0,0.2495,-0.323,1207,0.54,,,,,,323,0.755396044,0.315341507,20,1.093191361,0.435012209,0.958961073
215,0,CAQF-30,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,283,0.768545925,0.290183632,21,0.588721626,0.441039554,0.981300482
226,11,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,293,1.22199175,0.408070732,22,0.513779117,0.455441397,0.983820822
236,21,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,303,2.268347822,0.399002494,23,0.475122828,0.447670304,0.966657851
247,32,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,313,2.420863729,0.471548402,24,0.432581269,0.453725973,0.976698581
260,45,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,333,1.668725383,0.36272954,25,0.315359759,0.505063341,0.988768301
271,56,,Methane,0,0,0,0,0.2495,-0.323,2114,1.307,0.165,1.142,,,,353,0.159973897,0.036272954,26,0.210511375,0.574833996,0.98953685
