,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
426,9,CNX-2,Hydrogen,0,0,0,0,0.1086,-1.2,2700,1.42,0.35,1.07,78.19,12.78,6.47,77,1.046495818,11.20649652,43,12.30237717,0.308171243,0.992350067
435,18,CNX-1,Hydrogen,0,0,0,0,0.1086,-1.2,1803,0.93,0.19,0.74,77.38,15.31,5.27,77,1.04868881,9.176334107,44,9.954619262,0.298187799,0.991344954
442,0,AG-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2264,1.02,0.1,0.92,,,,77,0.299401198,8.340646294,45,13.21066164,0.1712992,0.934437566
452,10,AU-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2137,0.95,0.08,0.87,,,,77,1.497005988,13.01190722,46,13.39257352,0.1555205,0.940733268
461,19,CO-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,2159,0.98,0.11,0.87,,,,77,0.598802395,4.892800606,47,9.604191373,0.247639027,0.869204369
469,27,LE-4-700,Hydrogen,0,0,0,0,0.1086,-1.2,1983,0.9,0.09,0.81,,,,77,0.149700599,5.610546149,48,11.19632154,0.206544035,0.917893913
480,0,CMK-3,Hydrogen,0,0,0,0,0.1086,-1.2,984,1.09,0.72,0.37,,,,77,0.021955139,1.374072884,49,5.286364062,0.276349911,0.953527162
492,12,C1223-2,Hydrogen,0,0,0,0,0.1086,-1.2,1814,1.76,1.07,0.69,,,,77,0.036557619,2.175563982,50,9.705394532,0.367164721,0.982174395
505,25,C1223-4,Hydrogen,0,0,0,0,0.1086,-1.2,2110,2.01,1.22,0.79,,,,77,0.031300212,2.605308824,51,10.13436836,0.363947547,0.990165774
519,39,C1223-6,Hydrogen,0,0,0,0,0.1086,-1.2,2749,2.09,1.13,0.96,,,,77,0.01132892,1.861250723,52,11.68310872,0.386011111,0.994405741
533,0,CEMC750,Hydrogen,0,0,0,0,0.1086,-1.2,3360,1.71,0.47,1.24,,,,77,0.273461183,6.265356265,53,11.94985563,0.329053561,0.993740686
543,10,CEMC700,Hydrogen,0,0,0,0,0.1086,-1.2,2878,1.67,0.9,0.77,,,,77,0.342225342,8.034398034,54,11.7078173,0.304555025,0.99640465
554,21,CEMC800,Hydrogen,0,0,0,0,0.1086,-1.2,2762,1.41,0.42,0.99,,,,77,0.405405405,7.223587224,55,10.70541838,0.32552047,0.996913764
564,31,CEMC850,Hydrogen,0,0,0,0,0.1086,-1.2,2658,1.42,0.44,0.98,,,,77,0.271067998,5.15970516,56,9.968750559,0.327800813,0.993046238
574,41,CEMC900,Hydrogen,0,0,0,0,0.1086,-1.2,2168,1.11,0.36,0.75,,,,77,0.463639555,4.127764128,57,7.941189185,0.350834291,0.98262826
585,52,CEMC950,Hydrogen,0,0,0,0,0.1086,-1.2,565,0.41,0.24,0.17,,,,77,0.522192795,1.179361179,58,1.942479608,0.375648989,0.988859349
594,0,SCEMC700,Hydrogen,0,0,0,0,0.1086,-1.2,1627,0.9,0.33,0.57,,,,77,0.249416133,4.419089466,59,8.190518372,0.337743602,0.997061796
605,11,SCEMC800,Hydrogen,0,0,0,0,0.1086,-1.2,1035,0.62,0.23,0.39,,,,77,0.188334631,2.877679801,60,5.791034106,0.318427415,0.99614519
615,21,SCEMC600,Hydrogen,0,0,0,0,0.1086,-1.2,803,0.67,0.39,0.28,,,,77,0.25735074,1.696527487,61,3.532853441,0.373799304,0.996227088
624,30,SCEMC,Hydrogen,0,0,0,0,0.1086,-1.2,729,0.6,0.37,0.23,,,,77,0.124258938,2.363652015,62,4.717130134,0.25908594,0.996055444
635,0,R-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1626,0.77,0.025,0.745,,,,303,3.066037736,0.186528497,63,0.043622625,1.056841253,0.99975804
643,8,F1-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1053.4,0.495,0.013,0.482,,,,303,5.896226415,0.303108808,64,0.060884497,1.018983043,0.999690723
652,17,F2-A15,Hydrogen,0,0,0,0,0.1086,-1.2,645.7,0.4,0.009,0.391,,,,303,3.537735849,0.069948187,65,0.019884335,1.209460883,0.999111228
660,25,NI-A15,Hydrogen,0,0,0,0,0.1086,-1.2,1467.7,0.696,0.035,0.661,,,,303,0.235849057,0.139896373,66,0.127792447,0.905067745,0.998136812
669,0,FF-4800,Hydrogen,0,0,0,0,0.1086,-1.2,4113,1.87,1.08,0.79,82.5,17.1,0,77,0.368138317,10.14084507,67,16.83522889,0.230664683,0.946591281
678,9,FF-4700,Hydrogen,0,0,0,0,0.1086,-1.2,2803,1.23,0.5,0.73,78.3,21.2,0,77,0.74914229,12.3943662,68,17.18197258,0.198923003,0.914298551
