,Unnamed: 0,GAC,GAS,E,S,A,B,V,L,BET,Vt,Vmeso,Vmic,%C,%O,%N,Temp(K),Pressure,Adsorp(mmol/g),Index,K,n,R2
0,0,Maxsorb III,n-butane,0,0,0,0,0.6722,1.615,3140,2.01,0.31,1.7,,,,328,0.2525,7.100825877,0,9.883598102,0.177941335,0.956775129
9,9,,n-butane,0,0,0,0,0.6722,1.615,3140,2.01,0.31,1.7,,,,318,0.2086,7.384721266,1,10.59187483,0.167980919,0.942869067
18,18,,n-butane,0,0,0,0,0.6722,1.615,3140,2.01,0.31,1.7,,,,308,0.1733,7.672057811,2,11.37230734,0.160909684,0.913547604
27,27,,n-butane,0,0,0,0,0.6722,1.615,3140,2.01,0.31,1.7,,,,298,0.1497,8.026496903,3,12.25850365,0.160080728,0.907797978
36,0,PAC,Ethane,0,0,0,0,0.3904,0.492,599,0.66,,,,,,278,0.009925558,0.680672269,4,2.610774827,0.258794015,0.99421912
54,18,,Ethane,0,0,0,0,0.3904,0.492,599,0.66,,,,,,298,0.032258065,0.781512605,5,2.233700988,0.276017529,0.993650853
68,32,,Ethane,0,0,0,0,0.3904,0.492,599,0.66,,,,,,318,0.012406948,0.428571429,6,1.935270239,0.327597602,0.994853832
81,43,PAC,Ethane,0,0,0,0,0.3904,0.492,1150,0.72,,,,,,293.15,0.23529,1.156,7,3.473597327,0.257642602,0.826928651
90,52,,Ethane,0,0,0,0,0.3904,0.492,1150,0.72,,,,,,303.15,0.33009,1.169,8,3.100872951,0.271965149,0.814917344
99,61,,Ethane,0,0,0,0,0.3904,0.492,1150,0.72,,,,,,313.15,0.33411,1.071,9,2.829725921,0.295755091,0.873151912
108,70,PAC,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1150,0.72,,,,,,293.15,0.3473,1.368,10,3.366142785,0.258709941,0.865524544
119,81,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1150,0.72,,,,,,303.15,1.10197,0.264,11,0.340432128,0.653509433,0.99027938
128,90,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1150,0.72,,,,,,313.15,1.21062,0.204,12,0.265035483,0.688627089,0.983448546
137,0,C600-3,Ethane,0,0,0,0,0.3904,0.492,1971,0.95,,,88.6,10.08,1.31,298,0.010504021,0.604252011,13,6.426801663,0.458546766,0.996553103
149,12,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,1971,0.95,,,88.6,10.08,1.31,298,0.007651475,0.350825737,14,5.536645945,0.498174298,0.996704007
161,24,C700-3,Ethane,0,0,0,0,0.3904,0.492,2546,1.28,,,89.41,9.72,0.88,298,0.012287335,0.48982992,15,7.463845512,0.534788058,0.996601983
173,36,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2546,1.28,,,89.41,9.72,0.88,298,0.015122873,0.297813251,16,6.066695397,0.585663539,0.996603974
185,48,C800-3,Ethane,0,0,0,0,0.3904,0.492,2866,1.6,,,91.18,8.05,0.77,298,0.009577412,0.410520891,17,7.320058236,0.57281327,0.99881458
197,60,,Ethylene,0.11,0.1,0,0.07,0.3474,0.289,2866,1.6,,,91.18,8.05,0.77,298,0.01633596,0.302912917,18,5.80432576,0.611966588,0.997791508
